"yearmonth.x","TICKER","gsector","bm","lt_ppent","SIZE","chqn","ab0"
201506,"D",55,0.234966007399471,-0.256266872580372,0.635595507788937,-0.336805587132135,-0.051758
201507,"D",55,0.235897954529745,-0.256416932477627,0.59394974931685,-0.336180407215587,0.07223
201508,"D",55,0.235633188078132,-0.256382399109685,0.592995386527244,-0.335697464613601,-0.018166
201509,"D",55,0.311899198373008,-0.258974622302144,0.596166534396943,-0.33384636818139,0.009032
201510,"D",55,0.311606006256857,-0.259012536062306,0.729011822882051,-0.31613350686454,0.014919
201511,"D",55,0.308855616562751,-0.259087328642952,0.734163043710244,-0.315086898807854,-0.047774
201512,"D",55,0.105912463150496,-0.262723481289967,0.732020577583021,-0.315679391990159,0.003908
201601,"D",55,0.101732766008434,-0.262988427125786,0.660178176809046,-0.295140526743917,0.066872
201602,"D",55,0.102306335457502,-0.263042958575548,0.663141348671323,-0.295957470299068,-0.031376
201603,"D",55,0.204124006020948,-0.256787394815524,0.666912890530475,-0.295357881561437,0.084182
201604,"D",55,0.19897963476285,-0.256895488084304,0.764531683800545,-0.340844813157447,-0.048689
201605,"D",55,0.19381168288832,-0.256955631968437,0.760196360793041,-0.34412040690644,0.010814
201606,"D",55,0.0992660581568129,-0.256201213688859,0.757469753091029,-0.345429398624861,0.088105
201607,"D",55,0.106140041303862,-0.256315159453099,0.804282147395528,-0.310054021306164,0.000955
201608,"D",55,0.109738577257631,-0.256251432104839,0.797648422118087,-0.307995353647754,-0.040702
201609,"D",55,0.125442833436111,-0.257728158606302,0.795426964944468,-0.309719897989019,0.001283
201610,"D",55,0.130199887211523,-0.257694239145708,0.740717073058122,-0.35096578857299,0.012322
201611,"D",55,0.133042186926531,-0.257757253766303,0.744375461105167,-0.349970747780654,-0.01619
201612,"D",55,0.3161128544552,-0.255717653996281,0.745237274719257,-0.351019973732452,0.044727
201701,"D",55,0.316360098755879,-0.255857537150336,0.762324468494196,-0.321292009163654,-0.004447
201702,"D",55,0.317205663254503,-0.255837737017526,0.755976216472992,-0.325148411058076,0.017429
201503,"DAL",20,-0.614468801913123,-0.241355502767619,0.621027413674167,-0.0790133410893512,0.009883
201504,"DAL",20,-0.611459277818982,-0.241481788581772,0.51174183721998,-0.0506916880060703,-0.007117
201505,"DAL",20,-0.610590976707052,-0.241763421782687,0.508026796293493,-0.0505522489467099,-0.036514
201506,"DAL",20,-0.491058383640875,-0.243614260905405,0.507415183105185,-0.0547173822174218,-0.04287
201507,"DAL",20,-0.489609140726137,-0.243763850417906,0.399847026439833,-0.0391519035691023,0.079357
201508,"DAL",20,-0.4897192008133,-0.243729336956503,0.398877928057279,-0.0387885782531294,-0.009585
201509,"DAL",20,-0.36365261857227,-0.245529882076412,0.40191937719376,-0.0354120052702296,0.024897
201510,"DAL",20,-0.363674324825674,-0.245567938464476,0.559882879548673,-0.0245052403184055,0.133051
201511,"DAL",20,-0.365261319364857,-0.245642593656276,0.565102945733928,-0.0235198269890077,-0.083497
201512,"DAL",20,-0.425763129448883,-0.248378213967688,0.563213886065932,-0.0242469351457783,0.090946
201601,"DAL",20,-0.429578891130324,-0.248642658188082,0.639613214856722,-0.0922192089428929,-0.126358
201602,"DAL",20,-0.428637631479232,-0.248697064717666,0.642677188821181,-0.09312938519288,0.092033
201603,"DAL",20,-0.445978156522011,-0.244307543454838,0.646440284189986,-0.0922231107310024,0.008921
201604,"DAL",20,-0.450434337854659,-0.244415910721285,0.588680016772935,-0.127494182470004,-0.144102
201605,"DAL",20,-0.453252929599268,-0.244476089313279,0.584362614640552,-0.130826138689546,0.046096
201606,"DAL",20,-0.368111977494308,-0.243439167503794,0.581552112848523,-0.132989079590515,-0.161958
201607,"DAL",20,-0.360647793318003,-0.243552813766482,0.241703905569734,-0.136980593576931,0.063484
201608,"DAL",20,-0.358034959224354,-0.2434891786375,0.23489311092459,-0.134861183958006,-0.046587
201609,"DAL",20,0.0550535974088241,-0.2458075802355,0.232794518884429,-0.13835764901414,0.07082
201610,"DAL",20,0.0598932917693873,-0.245773796192424,0.267666061384736,-0.155113784246763,0.06103
201611,"DAL",20,0.0626046235957955,-0.245836700621953,0.269298245376063,-0.154133105235752,0.158207
201612,"DAL",20,0.0771341971806215,-0.245272230434521,0.269726639392335,-0.152879756157671,0.020663
201701,"DAL",20,0.0773708641304656,-0.245411864510893,0.468445093303974,-0.00280067147838816,-0.040042
201702,"DAL",20,0.0779500679693769,-0.245392102586488,0.462972452486968,-0.00682088795841132,0.06083
201503,"DE",20,-0.295721522051196,-0.186251776827043,0.289821295814383,0.203237021654848,-0.025497
201504,"DE",20,-0.366713458968532,-0.183901133014182,0.274948831141413,0.234380672677226,0.032273
201505,"DE",20,-0.365978996350946,-0.184181235867613,0.314676660095095,0.293321017438294,0.034909
201506,"DE",20,-0.347806934287623,-0.18343640485858,0.314006450284407,0.286384835896557,0.042378
201507,"DE",20,-0.395260684392412,-0.185175649440988,0.32227334349637,0.263811294215521,-0.025554
201508,"DE",20,-0.395390863244459,-0.185141228153835,0.347676683325505,0.231072525284593,-0.135244
201509,"DE",20,-0.421557060024722,-0.186938597181247,0.350683922573637,0.23583560707306,-0.087797
201510,"DE",20,-0.489083529169573,-0.188267162724648,0.432924385462841,0.216597847434283,0.054054
201511,"DE",20,-0.490454464608556,-0.188341232366199,0.212734714056898,0.221828869954002,0.020128
201512,"DE",20,-0.536057534296626,-0.190543605781965,0.211373823880119,0.220988485601919,-0.034032
201601,"DE",20,-0.466318526996302,-0.197256584206308,0.180000406368898,0.23337659343645,0.009602
201602,"DE",20,-0.4653518419589,-0.197310543275908,0.168655036682701,0.127960657173052,0.040963
201603,"DE",20,-0.431401874850644,-0.190729386408356,0.172222481530699,0.129201230308268,-0.032502
201604,"DE",20,-0.441697827012271,-0.188583584687537,0.156060794756749,0.123357475181897,0.09238
201605,"DE",20,-0.444548024498538,-0.18864391855888,0.235889666004833,0.216342491699453,-0.021738
201606,"DE",20,-0.434449505135112,-0.189143058413094,0.232912900218768,0.212789619551831,-0.008099
201607,"DE",20,-0.426901550490139,-0.191322339902488,0.21026682271676,0.195859137632782,-0.041291
201608,"DE",20,-0.424428622466958,-0.191259082185048,0.125369638471425,0.223398549275486,0.08782
201609,"DE",20,-0.419308645383761,-0.192501114921226,0.123294958450915,0.21623551831987,0.016358
201610,"DE",20,-0.313037344923679,-0.194681498747537,0.0972820818134401,0.223740525491715,0.034364
201611,"DE",20,-0.311020712332451,-0.194743930886336,0.227289114020612,0.226783111099964,0.134668
201612,"DE",20,-0.303344980848642,-0.193514751824621,0.22767918251797,0.232515109720659,0.034031
201701,"DE",20,-0.523246817625507,-0.198025758862811,0.208964144432895,0.197615828821121,0.038517
201702,"DE",20,-0.523337020181401,-0.198006170268318,0.409143957715546,0.1367510616843,0.022393
201503,"DFS",40,-0.138025499382663,1.4751996725938,0.306421397956744,0.698267178742565,-0.075927
201504,"DFS",40,-0.135378369918106,1.47510587393321,0.132141831660313,1.44052232308121,0.028749
201505,"DFS",40,-0.134770412178737,1.47486986326967,0.127884775509655,1.44171053327029,0.010005
201506,"DFS",40,0.0917145580462193,1.4541496052861,0.12715795661795,1.42552023664202,-0.011155
201507,"DFS",40,0.0927485725061632,1.45406313335438,0.141706441839201,1.1803983621446,-0.031413
201508,"DFS",40,0.0925143310771323,1.45409497569898,0.140717746335486,1.18027055852463,-0.032252
201509,"DFS",40,0.0609799520790478,1.48736979661242,0.143586706872535,1.18991048775077,-0.032384
201510,"DFS",40,0.0607875975690594,1.48731335683858,0.107647771112647,1.05401299931092,0.081362
201511,"DFS",40,0.0584693260753537,1.48725640976783,0.113051923397549,1.05477209840016,0.014586
201512,"DFS",40,0.105912463150496,1.52724336398179,0.111840449099083,1.05354714856636,-0.055421
201601,"DFS",40,0.101732766008434,1.52704100847338,0.0932850035899541,1.03759911727526,-0.146128
201602,"DFS",40,0.102306335457502,1.52700206425339,0.0990268834170618,1.03616984323718,0.019673
201603,"DFS",40,0.134157853998387,1.54904876773867,0.102565589556567,1.03878367191464,0.096741
201604,"DFS",40,0.129087548023746,1.54890102697072,0.0163344417598518,1.36553066731387,0.104967
201605,"DFS",40,0.124172442082481,1.54883586085436,0.0120753668173626,1.36180428728196,0.014473
201606,"DFS",40,0.265109877258823,1.50419018790832,0.00899181437984871,1.35366542146393,-0.05688
201607,"DFS",40,0.271774434234202,1.50411755526493,0.0183453177987127,1.06914590083185,0.060446
201608,"DFS",40,0.275722735364142,1.50416856192401,0.0114642218852872,1.07168861337404,0.060673
